generic_name,category
PAROMOMYCIN SULFATE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
PAROXETINE HCL,"Neurology, Psychiatry & Pain"
PAROXETINE MESYLATE,"Neurology, Psychiatry & Pain"
PASIREOTIDE DIASPARTATE,"Endocrine, Metabolic & Hormonal"
PASIREOTIDE PAMOATE,"Endocrine, Metabolic & Hormonal"
PATIROMER CALCIUM SORBITEX,"Endocrine, Metabolic & Hormonal"
PAZOPANIB HCL,"Nutrition, Fluids, Electrolytes & Supplies"
PEDI MULTIVIT 45/FLUORIDE/IRON,"Nutrition, Fluids, Electrolytes & Supplies"
PEDI MULTIVIT 75/FLUORIDE/IRON,"Nutrition, Fluids, Electrolytes & Supplies"
PEDI MULTIVIT NO.12 W-FLUORIDE,"Nutrition, Fluids, Electrolytes & Supplies"
PEDI MULTIVIT NO.16 W-FLUORIDE,"Nutrition, Fluids, Electrolytes & Supplies"
PEDI MULTIVIT NO.17 W-FLUORIDE,"Nutrition, Fluids, Electrolytes & Supplies"
PEDI MULTIVIT NO.2 W-FLUORIDE,"Nutrition, Fluids, Electrolytes & Supplies"
PEDI MULTIVIT NO.82 W-FLUORIDE,"Nutrition, Fluids, Electrolytes & Supplies"
PEG3350/SOD SUL/NACL/ASB/C/KCL,"Nutrition, Fluids, Electrolytes & Supplies"
"PEG3350/SOD SULF,BICARB,CL/KCL","Nutrition, Fluids, Electrolytes & Supplies"
PEGADEMASE BOVINE,Oncology & Immunology
PEGFILGRASTIM,Oncology & Immunology
PEGINTERFERON ALFA-2A,Oncology & Immunology
PEGINTERFERON ALFA-2B,Oncology & Immunology
PEGINTERFERON BETA-1A,Oncology & Immunology
PEGLOTICASE,"Endocrine, Metabolic & Hormonal"
PEGVISOMANT,"Endocrine, Metabolic & Hormonal"
PEMBROLIZUMAB,Oncology & Immunology
PEMETREXED DISODIUM,Oncology & Immunology
PEN G BENZ/PEN G PROCAINE,"Nutrition, Fluids, Electrolytes & Supplies"
PEN G POT/DEXTROSE-WATER,"Nutrition, Fluids, Electrolytes & Supplies"
"PEN NEEDLE, DIABETIC","Nutrition, Fluids, Electrolytes & Supplies"
"PEN NEEDLE, DIABETIC, SAFETY","Nutrition, Fluids, Electrolytes & Supplies"
"PEN NEEDLE,DUAL SAFETY,DIABETC","Nutrition, Fluids, Electrolytes & Supplies"
PENCICLOVIR,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
PENICILLAMINE,"Endocrine, Metabolic & Hormonal"
PENICILLIN G BENZATHINE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
PENICILLIN G POTASSIUM,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
PENICILLIN G SODIUM,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
PENICILLIN V POTASSIUM,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
PENTAMIDINE ISETHIONATE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
PENTAZOCINE HCL/NALOXONE HCL,"Neurology, Psychiatry & Pain"
PENTOSAN POLYSULFATE SODIUM,"Nutrition, Fluids, Electrolytes & Supplies"
PENTOSTATIN,Oncology & Immunology
PENTOXIFYLLINE,"Nutrition, Fluids, Electrolytes & Supplies"
PERAMPANEL,"Neurology, Psychiatry & Pain"
PERINDOPRIL ERBUMINE,Cardiovascular & Blood
PERIT. DIALYSIS NO.6-1.5 % DEX,"Nutrition, Fluids, Electrolytes & Supplies"
PERMETHRIN,Dermatology (Topical)
PERPHENAZINE,"Neurology, Psychiatry & Pain"
PERPHENAZINE/AMITRIPTYLINE HCL,"Neurology, Psychiatry & Pain"
PERTUZUMAB,Oncology & Immunology
PHENAZOPYRIDINE HCL,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
PHENELZINE SULFATE,"Neurology, Psychiatry & Pain"
PHENOBARBITAL,"Neurology, Psychiatry & Pain"
PHENOBARBITAL SODIUM,"Neurology, Psychiatry & Pain"
PHENOXYBENZAMINE HCL,Gastrointestinal & Genitourinary
PHENTERMINE HCL,"Endocrine, Metabolic & Hormonal"
PHENTERMINE/TOPIRAMATE,"Neurology, Psychiatry & Pain"
PHENTOLAMINE MESYLATE,Gastrointestinal & Genitourinary
PHENYLEPHRINE HCL,Respiratory & Allergy
PHENYLEPHRINE HCL/PROMETH HCL,Respiratory & Allergy
PHENYTOIN,"Neurology, Psychiatry & Pain"
PHENYTOIN SODIUM,"Neurology, Psychiatry & Pain"
PHENYTOIN SODIUM EXTENDED,"Neurology, Psychiatry & Pain"
PHYTONADIONE (VIT K1),"Nutrition, Fluids, Electrolytes & Supplies"
PILOCARPINE HCL,Ophthalmic & Otic
PIMAVANSERIN TARTRATE,"Neurology, Psychiatry & Pain"
PIMECROLIMUS,Dermatology (Topical)
PIMOZIDE,"Neurology, Psychiatry & Pain"
PINDOLOL,Cardiovascular & Blood
PIOGLITAZONE HCL,"Endocrine, Metabolic & Hormonal"
PIOGLITAZONE HCL/GLIMEPIRIDE,"Endocrine, Metabolic & Hormonal"
PIOGLITAZONE HCL/METFORMIN HCL,"Endocrine, Metabolic & Hormonal"
PIPERACILLIN SODIUM/TAZOBACTAM,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
"PIPERACILLIN-TAZO-DEXTROSE,ISO",Infectious Disease (Antimicrobial/Antiviral/Vaccine)
PIRFENIDONE,"Nutrition, Fluids, Electrolytes & Supplies"
PIROXICAM,"Nutrition, Fluids, Electrolytes & Supplies"
PITAVASTATIN CALCIUM,Cardiovascular & Blood
PLECANATIDE,Gastrointestinal & Genitourinary
PLERIXAFOR,Oncology & Immunology
PNEUMOC 13-VAL CONJ-DIP CRM/PF,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
PNV 102/IRON/FOLATE 1/DSS/DHA,"Nutrition, Fluids, Electrolytes & Supplies"
PNV 11/IRON FUM/FOLIC ACID/OM3,"Nutrition, Fluids, Electrolytes & Supplies"
PNV 112/IRON/FOLIC/OM3/DHA/EPA,"Nutrition, Fluids, Electrolytes & Supplies"
PNV 117/IRON/FOLIC/OM3/DHA/EPA,"Nutrition, Fluids, Electrolytes & Supplies"
"PNV 15/IRON FUM,PS/FOLIC ACID","Nutrition, Fluids, Electrolytes & Supplies"
"PNV 16/IRON FUM,PS/FOLIC/OM-3","Nutrition, Fluids, Electrolytes & Supplies"
"PNV 19/IRON PS,HEME/FOLIC/DHA","Nutrition, Fluids, Electrolytes & Supplies"
"PNV 21/IRON PS,HEME PPEP/FOLIC","Nutrition, Fluids, Electrolytes & Supplies"
"PNV 30/IRON CARB,AG/FOLIC/OM3","Nutrition, Fluids, Electrolytes & Supplies"
PNV 39/IRON/FOLIC/DOCUSATE/DHA,"Nutrition, Fluids, Electrolytes & Supplies"
"PNV 55/IRON FUM,B-G/FOLIC ACID","Nutrition, Fluids, Electrolytes & Supplies"
PNV 66/IRON/FOLIC/DOCUSATE/DHA,"Nutrition, Fluids, Electrolytes & Supplies"
PNV 67/IRON PS/FOLATE NO.1/DHA,"Nutrition, Fluids, Electrolytes & Supplies"
PNV 69/IRON/FOLIC/DOCUSATE/DHA,"Nutrition, Fluids, Electrolytes & Supplies"
"PNV 76/IRON,GLUC/FOLIC/DSS/DHA","Nutrition, Fluids, Electrolytes & Supplies"
PNV 80/IRON FUM/FOLIC/DSS/DHA,"Nutrition, Fluids, Electrolytes & Supplies"
PNV 85/IRON/FOLIC/DHA/FISH OIL,"Nutrition, Fluids, Electrolytes & Supplies"
PNV NO.106/IRON/FOLATE NO6/DHA,"Nutrition, Fluids, Electrolytes & Supplies"
PNV NO.118/IRON FUMARATE/FA,"Nutrition, Fluids, Electrolytes & Supplies"
"PNV,CALCIUM 72/IRON,CARB/FOLIC","Nutrition, Fluids, Electrolytes & Supplies"
"PNV,CALCIUM 72/IRON/FOLIC ACID","Nutrition, Fluids, Electrolytes & Supplies"
"PNV,CALCIUM37/IRON/FOLIC/OMEG3","Nutrition, Fluids, Electrolytes & Supplies"
PNV/FOLIC AC/B6/CALCIUM/GINGER,"Nutrition, Fluids, Electrolytes & Supplies"
PNV119/IRON FUM/FOLIC/DOCUSATE,"Nutrition, Fluids, Electrolytes & Supplies"
PNV20/IRON/FOLIC/DOCUSATE/OM3S,"Nutrition, Fluids, Electrolytes & Supplies"
"PNV59/IRON,CARB,FUM/FA/DSS/DHA","Nutrition, Fluids, Electrolytes & Supplies"
"PNV72/IRON,GLUC/FOLIC/DSS/DHA","Nutrition, Fluids, Electrolytes & Supplies"
"PNV73/IRON,GLUC/FOLIC/DSS/DHA","Nutrition, Fluids, Electrolytes & Supplies"
PODOFILOX,Dermatology (Topical)
PODOPHYLLUM RESIN,Dermatology (Topical)
"POLIOMYELITIS VACCINE, KILLED",Infectious Disease (Antimicrobial/Antiviral/Vaccine)
POLYETHYLENE GLYCOL 3350,Gastrointestinal & Genitourinary
POLYMYXIN B SULF/TRIMETHOPRIM,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
POLYMYXIN B SULFATE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
POMALIDOMIDE,Oncology & Immunology
PONATINIB HCL,Oncology & Immunology
POSACONAZOLE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
POT CHLORIDE/POT BICARB/CIT AC,"Nutrition, Fluids, Electrolytes & Supplies"
POTASSIUM ACETATE,"Nutrition, Fluids, Electrolytes & Supplies"
POTASSIUM BICARBONATE/CIT AC,"Nutrition, Fluids, Electrolytes & Supplies"
POTASSIUM CHLORIDE,"Nutrition, Fluids, Electrolytes & Supplies"
POTASSIUM CHLORIDE IN 0.9%NACL,"Nutrition, Fluids, Electrolytes & Supplies"
POTASSIUM CHLORIDE IN D5W,"Nutrition, Fluids, Electrolytes & Supplies"
POTASSIUM CHLORIDE IN WATER,"Nutrition, Fluids, Electrolytes & Supplies"
POTASSIUM CHLORIDE-0.45% NACL,"Nutrition, Fluids, Electrolytes & Supplies"
POTASSIUM CHLORIDE/D5-0.2%NACL,"Nutrition, Fluids, Electrolytes & Supplies"
POTASSIUM CHLORIDE/D5-0.45NACL,"Nutrition, Fluids, Electrolytes & Supplies"
POTASSIUM CHLORIDE/D5-0.9%NACL,"Nutrition, Fluids, Electrolytes & Supplies"
POTASSIUM CITRATE,"Nutrition, Fluids, Electrolytes & Supplies"
POTASSIUM CITRATE/CITRIC ACID,"Nutrition, Fluids, Electrolytes & Supplies"
POTASSIUM IODIDE,"Nutrition, Fluids, Electrolytes & Supplies"
"POTASSIUM PHOS,M-BASIC-D-BASIC","Nutrition, Fluids, Electrolytes & Supplies"
"POTASSIUM PHOSPHATE,MONOBASIC","Nutrition, Fluids, Electrolytes & Supplies"
POVIDONE-IODINE,"Nutrition, Fluids, Electrolytes & Supplies"
PRALATREXATE,Oncology & Immunology
PRAMIPEXOLE DI-HCL,"Neurology, Psychiatry & Pain"
PRAMLINTIDE ACETATE,"Endocrine, Metabolic & Hormonal"
PRASTERONE (DHEA),"Endocrine, Metabolic & Hormonal"
PRASUGREL HCL,Cardiovascular & Blood
PRAVASTATIN SODIUM,Cardiovascular & Blood
PRAZIQUANTEL,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
PRAZOSIN HCL,"Nutrition, Fluids, Electrolytes & Supplies"
PREDNICARBATE,Dermatology (Topical)
PREDNISOLONE,"Endocrine, Metabolic & Hormonal"
PREDNISOLONE ACETATE,"Endocrine, Metabolic & Hormonal"
PREDNISOLONE SOD PHOSPHATE,"Endocrine, Metabolic & Hormonal"
PREDNISONE,"Endocrine, Metabolic & Hormonal"
PREGABALIN,"Neurology, Psychiatry & Pain"
PRENAT 115/IRON FUM/FOLIC/DSS,"Nutrition, Fluids, Electrolytes & Supplies"
"PRENAT90/IRON FUM,PS/FOLIC/DHA","Nutrition, Fluids, Electrolytes & Supplies"
PRENATAL 114/IRON A-G/FOLATE 1,"Nutrition, Fluids, Electrolytes & Supplies"
PRENATAL 118/IRON/FOLATE 6/DHA,"Nutrition, Fluids, Electrolytes & Supplies"
PRENATAL 2/IRON/FOLIC ACID/OM3,"Nutrition, Fluids, Electrolytes & Supplies"
PRENATAL 25/IRON/FOLATE 6/DHA,"Nutrition, Fluids, Electrolytes & Supplies"
PRENATAL 26/IRON PS/FOLIC/DHA,"Nutrition, Fluids, Electrolytes & Supplies"
PRENATAL 38/IRON/FOLATE 6/DHA,"Nutrition, Fluids, Electrolytes & Supplies"
PRENATAL 47/IRON/FOLATE 1/DHA,"Nutrition, Fluids, Electrolytes & Supplies"
PRENATAL 48/IRON/FOLIC ACID/B6,"Nutrition, Fluids, Electrolytes & Supplies"
PRENATAL 53/IRON/FOLIC AC/OMG3,"Nutrition, Fluids, Electrolytes & Supplies"
PRENATAL 68/IRON/FOLIC NO1/DHA,"Nutrition, Fluids, Electrolytes & Supplies"
PRENATAL 78/IRON/FOLATE 1/DHA,"Nutrition, Fluids, Electrolytes & Supplies"
PRENATAL 86/IRON/FOLIC/DHA/EPA,"Nutrition, Fluids, Electrolytes & Supplies"
PRENATAL 87/IRON BIS/FOLIC/DHA,"Nutrition, Fluids, Electrolytes & Supplies"
PRENATAL 93/IRON/FOLATE 9/DHA,"Nutrition, Fluids, Electrolytes & Supplies"
PRENATAL NO.123/IRON/FOLIC AC,"Nutrition, Fluids, Electrolytes & Supplies"
PRENATAL NO.52/IRON/FA/DHA,"Nutrition, Fluids, Electrolytes & Supplies"
PRENATAL NO.75/IRON/FOLATE NO1,"Nutrition, Fluids, Electrolytes & Supplies"
PRENATAL NO13/IRON PS/FOLATE 1,"Nutrition, Fluids, Electrolytes & Supplies"
PRENATAL VIT 10/IRON FUM/FOLIC,"Nutrition, Fluids, Electrolytes & Supplies"
PRENATAL VIT 10/IRON/FOLIC/DHA,"Nutrition, Fluids, Electrolytes & Supplies"
PRENATAL VIT 14/IRON FUM/FOLIC,"Nutrition, Fluids, Electrolytes & Supplies"
PRENATAL VIT 33/IRON/FOLIC/DHA,"Nutrition, Fluids, Electrolytes & Supplies"
PRENATAL VIT 36/IRON/FOLATE 6,"Nutrition, Fluids, Electrolytes & Supplies"
"PRENATAL VIT 65/IRON FUM,PS/FA","Nutrition, Fluids, Electrolytes & Supplies"
PRENATAL VIT 84/IRON/FA 1/DHA,"Nutrition, Fluids, Electrolytes & Supplies"
PRENATAL VIT 85/IRON/FA 1/DHA,"Nutrition, Fluids, Electrolytes & Supplies"
PRENATAL VIT 87/IRON/FOLIC/DHA,"Nutrition, Fluids, Electrolytes & Supplies"
PRENATAL VIT NO.112/FOLATE NO6,"Nutrition, Fluids, Electrolytes & Supplies"
PRENATAL VIT NO.127/IRON/FOLIC,"Nutrition, Fluids, Electrolytes & Supplies"
PRENATAL VIT NO.44/IRON/FA/DHA,"Nutrition, Fluids, Electrolytes & Supplies"
"PRENATAL VIT,CAL 73/IRON/FOLIC","Nutrition, Fluids, Electrolytes & Supplies"
"PRENATAL VIT,CAL 74/IRON/FOLIC","Nutrition, Fluids, Electrolytes & Supplies"
"PRENATAL VIT,CALC76/IRON/FOLIC","Nutrition, Fluids, Electrolytes & Supplies"
"PRENATAL VIT,CALC78/IRON/FOLIC","Nutrition, Fluids, Electrolytes & Supplies"
PRENATAL VIT/IRON FUM/FOLIC AC,"Nutrition, Fluids, Electrolytes & Supplies"
PRENATAL VIT103/IRON FUM/FOLIC,"Nutrition, Fluids, Electrolytes & Supplies"
PRENATAL VIT106/IRON/FOLIC/OM3,"Nutrition, Fluids, Electrolytes & Supplies"
PRENATAL VIT114/FOLATE6/GINGER,"Nutrition, Fluids, Electrolytes & Supplies"
PRENATAL VIT22/IRON/FOLIC/OM3S,"Nutrition, Fluids, Electrolytes & Supplies"
"PRENATAL VIT27,CALCIUM/IRON/FA","Nutrition, Fluids, Electrolytes & Supplies"
PRENATAL VIT37/IRON/FOLIC ACID,"Nutrition, Fluids, Electrolytes & Supplies"
PRENATAL VIT68/IRON/FA NO6/DHA,"Nutrition, Fluids, Electrolytes & Supplies"
PRENATAL VIT69/IRON/FOLATE6/DH,"Nutrition, Fluids, Electrolytes & Supplies"
PRENATAL VIT86/IRON/FOLIC ACID,"Nutrition, Fluids, Electrolytes & Supplies"
PRENATAL VITS15/IRON/FOLIC/DSS,"Nutrition, Fluids, Electrolytes & Supplies"
PRENATAL VITS16/IRON/FOLIC/DSS,"Nutrition, Fluids, Electrolytes & Supplies"
"PRENATAL,CALC.40/IRON/FOLATE 1","Nutrition, Fluids, Electrolytes & Supplies"
PRENATAL56/IRON/FOLIC ACID/DHA,"Nutrition, Fluids, Electrolytes & Supplies"
PRENATAL72/IRON FUM/FA/OM3/DHA,"Nutrition, Fluids, Electrolytes & Supplies"
PRENATAL81/IRON/FOLIC/DOCUSATE,"Nutrition, Fluids, Electrolytes & Supplies"
PRENATAL92/IRON/FOLATE8/PS-DHA,"Nutrition, Fluids, Electrolytes & Supplies"
PRIMAQUINE PHOSPHATE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
PRIMIDONE,"Neurology, Psychiatry & Pain"
PROBENECID,"Endocrine, Metabolic & Hormonal"
PROBENECID/COLCHICINE,"Endocrine, Metabolic & Hormonal"
PROCARBAZINE HCL,Oncology & Immunology
PROCHLORPERAZINE,Gastrointestinal & Genitourinary
PROCHLORPERAZINE EDISYLATE,Gastrointestinal & Genitourinary
PROCHLORPERAZINE MALEATE,Gastrointestinal & Genitourinary
PROGESTERONE,"Endocrine, Metabolic & Hormonal"
"PROGESTERONE, MICRONIZED","Endocrine, Metabolic & Hormonal"
PROMETHAZINE HCL,"Nutrition, Fluids, Electrolytes & Supplies"
PROMETHAZINE HCL/CODEINE,"Neurology, Psychiatry & Pain"
PROMETHAZINE/DEXTROMETHORPHAN,Respiratory & Allergy
PROMETHAZINE/PHENYLEPH/CODEINE,"Neurology, Psychiatry & Pain"
PROPAFENONE HCL,Cardiovascular & Blood
PROPANTHELINE BROMIDE,Gastrointestinal & Genitourinary
PROPARACAINE HCL,Ophthalmic & Otic
PROPRANOLOL HCL,Cardiovascular & Blood
PROPRANOLOL/HYDROCHLOROTHIAZID,Cardiovascular & Blood
PROPYLTHIOURACIL,"Endocrine, Metabolic & Hormonal"
PROTRIPTYLINE HCL,"Neurology, Psychiatry & Pain"
PSEUDOEPHEDRINE HCL/ACRIVAS,Respiratory & Allergy
PYRAZINAMIDE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
PYRIDOSTIGMINE BROMIDE,"Nutrition, Fluids, Electrolytes & Supplies"
PYRIMETHAMINE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
QUETIAPINE FUMARATE,"Neurology, Psychiatry & Pain"
QUINAPRIL HCL,Cardiovascular & Blood
QUINAPRIL/HYDROCHLOROTHIAZIDE,Cardiovascular & Blood
QUINIDINE GLUCONATE,Cardiovascular & Blood
QUINIDINE SULFATE,Cardiovascular & Blood
QUININE SULFATE,"Nutrition, Fluids, Electrolytes & Supplies"
QUINUPRISTIN/DALFOPRISTIN,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
RABEPRAZOLE SODIUM,Gastrointestinal & Genitourinary
"RABIES VACC, HUMAN DIPLOID/PF",Infectious Disease (Antimicrobial/Antiviral/Vaccine)
RABIES VACCINE (PCEC)/PF,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
RALOXIFENE HCL,"Endocrine, Metabolic & Hormonal"
RALTEGRAVIR POTASSIUM,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
RAMELTEON,"Neurology, Psychiatry & Pain"
RAMIPRIL,Cardiovascular & Blood
RAMUCIRUMAB,Oncology & Immunology
RANIBIZUMAB,Ophthalmic & Otic
RANITIDINE HCL,Gastrointestinal & Genitourinary
RANOLAZINE,"Nutrition, Fluids, Electrolytes & Supplies"
RASAGILINE MESYLATE,"Neurology, Psychiatry & Pain"
RASBURICASE,Oncology & Immunology
REGORAFENIB,Oncology & Immunology
REPAGLINIDE,"Endocrine, Metabolic & Hormonal"
REPAGLINIDE/METFORMIN HCL,"Endocrine, Metabolic & Hormonal"
RESLIZUMAB,Oncology & Immunology
RHO(D) IMMUNE GLOBULIN,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
RIBAVIRIN,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
RIBOCICLIB SUCCINATE,Oncology & Immunology
RIBOCICLIB SUCCINATE/LETROZOLE,Oncology & Immunology
RIFABUTIN,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
RIFAMP/ISONIAZID/PYRAZINAMIDE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
RIFAMPIN,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
RIFAMPIN/ISONIAZID,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
RIFAPENTINE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
RIFAXIMIN,"Nutrition, Fluids, Electrolytes & Supplies"
RILONACEPT,"Nutrition, Fluids, Electrolytes & Supplies"
RILPIVIRINE HCL,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
RILUZOLE,"Neurology, Psychiatry & Pain"
RIMABOTULINUMTOXINB,Oncology & Immunology
RIMANTADINE HCL,"Nutrition, Fluids, Electrolytes & Supplies"
RIMEXOLONE,Ophthalmic & Otic
"RINGER'S SOLUTION,LACTATED","Nutrition, Fluids, Electrolytes & Supplies"
RIOCIGUAT,Cardiovascular & Blood
RISEDRONATE SODIUM,"Endocrine, Metabolic & Hormonal"
RISPERIDONE,"Neurology, Psychiatry & Pain"
RISPERIDONE MICROSPHERES,"Neurology, Psychiatry & Pain"
RITONAVIR,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
RITUXIMAB,Oncology & Immunology
"RITUXIMAB/HYALURONIDASE,HUMAN",Oncology & Immunology
RIVAROXABAN,Cardiovascular & Blood
RIVASTIGMINE,"Neurology, Psychiatry & Pain"
RIVASTIGMINE TARTRATE,"Neurology, Psychiatry & Pain"
RIZATRIPTAN BENZOATE,"Neurology, Psychiatry & Pain"
ROFLUMILAST,Respiratory & Allergy
ROLAPITANT HCL,Gastrointestinal & Genitourinary
ROMIDEPSIN,Oncology & Immunology
ROMIPLOSTIM,Oncology & Immunology
ROPINIROLE HCL,"Neurology, Psychiatry & Pain"
ROSIGLITAZONE MALEATE,"Endocrine, Metabolic & Hormonal"
ROSUVASTATIN CALCIUM,Cardiovascular & Blood
ROTIGOTINE,"Neurology, Psychiatry & Pain"
RUCAPARIB CAMSYLATE,Oncology & Immunology
RUFINAMIDE,"Neurology, Psychiatry & Pain"
RUXOLITINIB PHOSPHATE,Oncology & Immunology
SACROSIDASE,"Endocrine, Metabolic & Hormonal"
SACUBITRIL/VALSARTAN,Cardiovascular & Blood
SAFINAMIDE MESYLATE,"Neurology, Psychiatry & Pain"
SALICYLIC ACID,Dermatology (Topical)
SALMETEROL XINAFOATE,Respiratory & Allergy
SALSALATE,"Nutrition, Fluids, Electrolytes & Supplies"
SAPROPTERIN DIHYDROCHLORIDE,"Endocrine, Metabolic & Hormonal"
SAQUINAVIR MESYLATE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
SARGRAMOSTIM,Oncology & Immunology
SARILUMAB,Oncology & Immunology
SAXAGLIPTIN HCL,"Endocrine, Metabolic & Hormonal"
SAXAGLIPTIN HCL/METFORMIN HCL,"Endocrine, Metabolic & Hormonal"
SCOPOLAMINE,Gastrointestinal & Genitourinary
SECOBARBITAL SODIUM,"Neurology, Psychiatry & Pain"
SECUKINUMAB,Oncology & Immunology
SELEGILINE,"Neurology, Psychiatry & Pain"
SELEGILINE HCL,"Neurology, Psychiatry & Pain"
SELENIUM SULFIDE,Dermatology (Topical)
SELEXIPAG,Cardiovascular & Blood
SERTACONAZOLE NITRATE,Dermatology (Topical)
SERTRALINE HCL,"Neurology, Psychiatry & Pain"
SEVELAMER CARBONATE,"Endocrine, Metabolic & Hormonal"
SEVELAMER HCL,"Endocrine, Metabolic & Hormonal"
SILDENAFIL CITRATE,Gastrointestinal & Genitourinary
SILODOSIN,Gastrointestinal & Genitourinary
SILVER NITRATE,Dermatology (Topical)
SILVER SULFADIAZINE,Dermatology (Topical)
SIMEPREVIR SODIUM,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
SIMVASTATIN,Cardiovascular & Blood
SINECATECHINS,Dermatology (Topical)
SIROLIMUS,Oncology & Immunology
SITAGLIPTIN PHOS/METFORMIN HCL,"Endocrine, Metabolic & Hormonal"
SITAGLIPTIN PHOSPHATE,"Endocrine, Metabolic & Hormonal"
"SOD PHOS DI, MONO/K PHOS MONO","Nutrition, Fluids, Electrolytes & Supplies"
"SOD PHOS,M-B/K PHOS,MONOB","Nutrition, Fluids, Electrolytes & Supplies"
"SOD PHOSPHATE MBAS/SOD PHOS,DI","Nutrition, Fluids, Electrolytes & Supplies"
"SOD PHOSPHATE,MONOBASIC-DIBAS","Nutrition, Fluids, Electrolytes & Supplies"
SOD PICOSULF/MAG OX/CITRIC AC,"Nutrition, Fluids, Electrolytes & Supplies"
SOD/POT/K CIT/SOD CIT/CIT ACID,"Nutrition, Fluids, Electrolytes & Supplies"
SODIUM ACETATE,"Nutrition, Fluids, Electrolytes & Supplies"
SODIUM BICARBONATE,"Nutrition, Fluids, Electrolytes & Supplies"
SODIUM CHLORIDE,"Nutrition, Fluids, Electrolytes & Supplies"
SODIUM CHLORIDE 0.45 %,"Nutrition, Fluids, Electrolytes & Supplies"
SODIUM CHLORIDE 3 %,"Nutrition, Fluids, Electrolytes & Supplies"
SODIUM CHLORIDE 5 %,"Nutrition, Fluids, Electrolytes & Supplies"
SODIUM CHLORIDE FOR INHALATION,Respiratory & Allergy
SODIUM CHLORIDE IRRIG SOLUTION,"Nutrition, Fluids, Electrolytes & Supplies"
SODIUM CHLORIDE/NAHCO3/KCL/PEG,"Nutrition, Fluids, Electrolytes & Supplies"
SODIUM FLUORIDE/POTASSIUM NIT,"Nutrition, Fluids, Electrolytes & Supplies"
SODIUM OXYBATE,"Neurology, Psychiatry & Pain"
SODIUM PHENYLBUTYRATE,Dermatology (Topical)
SODIUM POLYSTYRENE SULFON/SORB,Gastrointestinal & Genitourinary
SODIUM POLYSTYRENE SULFONATE,Gastrointestinal & Genitourinary
"SODIUM, POTASSIUM,MAG SULFATES","Nutrition, Fluids, Electrolytes & Supplies"
SODIUM/POT/MAG/CALC/CHLOR/ACET,"Nutrition, Fluids, Electrolytes & Supplies"
SOFOSBUVIR,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
SOFOSBUVIR/VELPATAS/VOXILAPREV,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
SOFOSBUVIR/VELPATASVIR,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
SOLIFENACIN SUCCINATE,Gastrointestinal & Genitourinary
SOMATROPIN,"Endocrine, Metabolic & Hormonal"
SONIDEGIB PHOSPHATE,Oncology & Immunology
SORAFENIB TOSYLATE,Oncology & Immunology
SORBITOL SOLUTION,Gastrointestinal & Genitourinary
SOTALOL HCL,"Nutrition, Fluids, Electrolytes & Supplies"
SPIRONOLACT/HYDROCHLOROTHIAZID,"Nutrition, Fluids, Electrolytes & Supplies"
SPIRONOLACTONE,Cardiovascular & Blood
STAVUDINE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
STREPTOMYCIN SULFATE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
"SUB-Q INSULIN DEVICE, 20 UNIT","Endocrine, Metabolic & Hormonal"
"SUB-Q INSULIN DEVICE, 30 UNIT","Endocrine, Metabolic & Hormonal"
"SUB-Q INSULIN DEVICE, 40 UNIT","Endocrine, Metabolic & Hormonal"
SUCCIMER,"Endocrine, Metabolic & Hormonal"
SUCCINYLCHOLINE CHLORIDE,"Neurology, Psychiatry & Pain"
SUCRALFATE,Gastrointestinal & Genitourinary
